Country Name,Country Code,Series Name,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,8.832277813,1.414117981,11.22971482,5.357403251,13.82631955,3.924983822,21.39052839,14.36244147,0.426354785,12.75228709,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-2.351100673,-20.73714562,
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,12.68626872,6.78459655,8.680570785,26.41866415,-6.811161089,2.178537524,11.80418581,6.441212809,7.385771784,4.673996035,-0.661709165,4.383891955,4.975951506,0.626149149,2.302372515,,,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.121,8.168,8.123,8.111,8.26,8.165,8.089,8.082,8.07,8.054,8.04,8.186,8.122,8.053,8.113,8.054,8.108,8.022,8.082,8.068,7.947,8.019,7.949,7.91,8.989,10.086,11.18,11.11,11.085,11.71,,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,2.49,,,,1.69,,7.91,,,11.18,,,11.71,5.58,
Afghanistan,AFG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,-2.325674831,2.28409164,-3.695237935,-12.35222884,-25.49134201,-24.77592068,-15.73139413,-20.96601496,-15.03068448,-18.81261493,-21.15679298,-20.05838403,-15.57198283,,
Afghanistan,AFG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,23.81012701,22.71086418,26.22678975,26.81209923,28.21076807,26.88224161,26.915628,21.89712221,21.1514207,22.74025248,21.15780715,20.44460531,21.22966322,22.12404249,10.46680769,10.051874,13.38724696,14.05811237,14.0316991,15.58900799,
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,36.1511546,37.44480384,41.11089534,39.00778718,39.83102433,40.29468522,45.40983087,45.24443493,48.87937691,49.6968204,50.57939792,52.68274347,52.99086504,53.2352935,59.02321641,58.32905001,59.47742291,55.47280674,54.68834226,46.50511366,
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,38.62789186,37.41885544,29.72106714,31.11485491,28.63596858,30.10501136,24.89227001,29.29750105,26.21006854,23.74366399,24.39087363,22.81066274,22.13704137,20.63432272,25.74031404,26.42019908,22.04289675,25.77397074,26.82060011,33.48449898,
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,47.026,47.007,46.967,46.915,46.864,46.806,46.767,46.749,46.75,46.758,46.791,46.844,46.908,46.979,47.057,47.006,46.963,46.929,46.9,46.874,46.908,46.96,47.03,47.1,47.17,47.24,47.31,47.394,47.487,41.58,,
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,,,,,,,,,,,,,,,,,,63.27,,,,46.96,,51.73,,,47.31,,,41.58,49.81,
Afghanistan,AFG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
